Genesis 1,1-5,6-8,9-13,14-19,20-23,24-26,27-31,,,,,,,,,,
Genesis 2,1-3,4-6,7-9,10-14,15-17,18-20,21-25,,,,,,,,,,
Genesis 3,1-5,6-8,9-13,14-16,17-19,20-24,,,,,,,,,,,
Genesis 4,1-5,6-8,9-12,13-15,16-18,19-22,23-26,,,,,,,,,,
Genesis 5,1-5,6-11,12-17,18-24,25-27,28-32,,,,,,,,,,,
Genesis 6,1-4,5-8,9-12,13-16,17-22,,,,,,,,,,,,
Genesis 7,1-5,6-12,13-16,17-20,21-24,,,,,,,,,,,,
Genesis 8,1-5,6-12,13-14,15-19,20-22,,,,,,,,,,,,
Genesis 9,1-4,5-7,8-11,12-17,18-23,24-29,,,,,,,,,,,
Genesis 10,1-5,6-14,15-20,21-25,26-32,,,,,,,,,,,,
Genesis 11,1-4,5-9,10-15,16-21,22-26,27-32,,,,,,,,,,,
Genesis 12,1-4,5-6,7-9,10-13,14-16,17-20,,,,,,,,,,,
Genesis 13,1-6,7-9,10-13,14-18,,,,,,,,,,,,,
Genesis 14,1-4,5-9,10-13,14-17,18-20,21-24,,,,,,,,,,,
Genesis 15,1-4,5-11,12-16,17-21,,,,,,,,,,,,,
Genesis 16,1-4,5-6,7-12,13-16,,,,,,,,,,,,,
Genesis 17,1-4,5-8,9-11,12-14,15-16,17-21,22-27,,,,,,,,,,
Genesis 18,1-5,6-10,11-15,16-21,22-26,27-30,31-33,,,,,,,,,,
Genesis 19,1-3,4-8,9-11,12-14,15-17,18-22,23-26,27-29,30-33,34-38,,,,,,,
Genesis 20,1-3,4-7,8-9,10-13,14-18,,,,,,,,,,,,
Genesis 21,1-7,8-13,14-16,17-21,22-24,25-27,28-34,,,,,,,,,,
Genesis 22,1-3,4-6,7-9,10-14,15-18,19-24,,,,,,,,,,,
Genesis 23,1-6,7-11,12-16,17-20,,,,,,,,,,,,,
Genesis 24,1-4,5-8,9-11,12-14,15-20,21-25,26-28,29-33,34-38,39-41,42-44,45-47,48-49,50-54,55-60,61-63,64-67
Genesis 25,1-6,7-11,12-18,19-21,22-26,27-34,,,,,,,,,,,
Genesis 26,1-5,6-11,12-17,18-22,23-25,26-29,30-35,,,,,,,,,,
Genesis 27,1-4,5-10,11-14,15-18,19-21,22-25,26-29,30-33,34-37,38-41,42-46,,,,,,
Genesis 28,1-5,6-9,10-15,16-19,20-22,,,,,,,,,,,,
Genesis 29,1-3,4-8,9-12,13-15,16-21,22-25,26-30,31-35,,,,,,,,,
Genesis 30,1-4,5-8,9-13,14-18,19-21,22-24,25-30,31-33,34-39,40-43,,,,,,,
Genesis 31,1-3,4-10,11-13,14-18,19-24,25-30,31-35,36-39,40-42,43-44,45-50,51-55,,,,,
Genesis 32,1-5,6-8,9-12,13-18,19-23,22-23,24-29,30-32,,,,,,,,,
Genesis 33,1-3,4-7,8-11,12-15,16-20,,,,,,,,,,,,
Genesis 34,1-4,5-10,11-17,18-23,24-26,27-31,,,,,,,,,,,
Genesis 35,1-5,6-7,8-15,16-20,21-26,27-29,,,,,,,,,,,
Genesis 36,1-5,6-8,9-14,15-19,20-24,25-30,31-39,40-43,,,,,,,,,
Genesis 37,1-4,5-8,9-12,13-16,17-20,21-25,26-28,29-33,34-36,,,,,,,,
Genesis 38,1-5,6-11,12-14,15-19,20-23,24-26,27-30,,,,,,,,,,
Genesis 39,1-5,6-9,10-15,16-19,20-23,,,,,,,,,,,,
Genesis 40,1-5,6-8,9-11,12-15,16-17,18-23,,,,,,,,,,,
Genesis 41,1-4,5-8,9-13,14-16,17-24,25-28,29-32,33-37,38-41,42-45,46-49,50-52,53-57,,,,
Genesis 42,1-5,6-7,8-13,14-17,18-20,21-24,25-28,29-34,35-38,,,,,,,,
Genesis 43,1-5,6-10,11-14,15-18,19-22,23-25,26-29,30-34,,,,,,,,,
Genesis 44,1-6,7-13,14-17,18-23,24-29,30-34,,,,,,,,,,,
Genesis 45,1-3,4-8,9-15,16-20,21-24,25-28,,,,,,,,,,,
Genesis 46,1-4,5-7,8-15,16-22,23-27,28-30,31-34,,,,,,,,,,
Genesis 47,1-4,5-10,11-14,15-16,17-19,20-22,23-26,27-31,,,,,,,,,
Genesis 48,1-4,5-7,8-13,14-16,17-20,21-22,,,,,,,,,,,
Genesis 49,1-4,5-7,8-9,10-12,13-15,16-21,22-25,26-27,28-33,,,,,,,,
Genesis 50,1-6,7-10,11-14,15-18,19-21,22-26,,,,,,,,,,,
